district,latitude,longitude,temp_2m,precip
Arghakhanchi,27.9,83.2,22.72632898062342,3.0288528503229433
Baglung,28.3,83.6,13.834549985958999,2.7879226340915473
Baitadi,29.5,80.5,9.950737152485257,1.6014153327716933
Bajang,29.6,81.2,5.444005195169896,1.3404408873911824
Banke,28.1,81.7,22.249310586913786,2.8718779837124404
Bara,27.2,85.0,23.795139707947204,2.717750631844987
Bardiya,28.3,81.4,23.80442642516147,2.689083122718338
Bhaktapur,27.7,85.5,12.859502948609942,2.0497921932041563
Chitawan,27.7,84.4,22.156425161471496,2.774822381353552
Dadeldhura,29.3,80.6,18.21724445380511,2.2634379387812413
Dailekh,28.8,81.7,17.55277309744454,2.5951663858466727
Dang,28.0,82.4,18.611538191519237,2.8861387250772257
Darchula,29.9,80.6,9.950737152485257,1.6014153327716933
Dhading,27.7,85.2,16.860930216231395,2.3262566694748665
Dhankuta,27.0,87.3,15.33728447065431,2.2971300196573994
Dhanusa,26.7,85.9,25.16016849199663,2.717311148553777
Dolkha,27.6,86.2,7.784330244313395,1.7016736871665261
Dolpa,29.0,82.9,1.2280342600393148,1.8352485256950295
Doti,29.2,80.9,16.841549424319012,2.1119924178601517
Gorkha,28.0,84.6,9.949418000561641,2.1243857062622857
Gulmi,28.1,83.2,14.449713563605728,2.8946454647570907
Humla,30.0,81.8,-2.5060944959281097,0.8505869137882618
Ilam,26.9,87.9,21.70263689974726,3.643849340073013
Jhapa,26.7,87.9,21.93520850884583,3.3906227183375455
Jumla,29.3,82.3,11.006286155574278,1.9453404942431902
Kabhre,27.6,85.6,12.859502948609942,2.0497921932041563
Kailali,28.8,80.8,23.00584948048301,2.6743590283628196
Kanchanpur,29.0,80.2,20.188166245436676,2.635254844144903
Kaski,28.2,84.0,12.976568379668631,2.5490690817186183
Kathmandu,27.7,85.3,16.860930216231395,2.3262566694748665
Lalitpur,27.6,85.3,16.860930216231395,2.3262566694748665
Lamjung,28.3,84.4,12.547610923897782,2.429639146307217
Mahottari,26.7,85.8,25.16016849199663,2.717311148553777
Makwanpur,27.4,85.0,23.127396798652065,2.6619081718618367
Manang,28.6,84.2,0.9421637180567256,1.8911766357764672
Morang,26.5,87.3,22.71655433866891,2.8325007020499857
Mugu,29.5,82.1,0.5282238135355237,1.2832687447346252
Mustang,28.9,83.8,2.079111906767762,2.2043225217635496
Myagdi,28.4,83.6,13.834549985958999,2.7879226340915473
Nawalparasi,27.6,84.0,22.250205700645886,2.899750772254985
Nuwakot,27.8,85.2,16.860930216231395,2.3262566694748665
Okhaldhunga,27.3,86.5,15.950207104745857,2.0655707666385847
Palpa,27.9,83.5,22.344012215669753,3.0247935973041282
Panchther,27.1,87.8,13.895273799494523,2.6916898343162035
Parbat,28.2,83.7,13.834549985958999,2.7879226340915473
Rasuwa,28.1,85.3,6.32058901993822,1.8393885144622297
Routahat,26.8,85.3,25.600396658242065,2.8016673687166525
Rukum,28.6,82.4,10.81648343162033,2.531944678461106
Rupandehi,27.5,83.4,22.47149185622016,3.0261689132266216
Salyan,28.4,82.1,20.237597584948052,2.8776312833473745
Sankhuwasabha,27.3,87.3,15.33728447065431,2.2971300196573994
Saptari,26.6,86.8,23.518635916877283,2.4514953664700925
Sarlahi,26.9,85.5,23.425888795282223,2.6413282785734347
Sindhuli,27.2,85.9,21.25138935692221,2.481114153327717
Solukhumbu,28.0,86.8,-2.6964167368716656,1.1583424599831509
Sunsari,26.6,87.1,22.71655433866891,2.8325007020499857
Surkhet,28.5,81.7,19.910459842740806,2.5710025273799495
Syangja,28.0,83.8,18.089332350463355,2.9062966863240662
Tanahun,28.0,84.1,12.547610923897782,2.429639146307217
Taplejung,27.4,87.7,13.895273799494523,2.6916898343162035
Terhathum,27.1,87.5,13.895273799494523,2.6916898343162035
Udayapur,26.9,86.5,23.518635916877283,2.4514953664700925
